method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.537474679270763,0.1,1.0,0.0,True,3
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.5028248587570622,0.1,1.0,0.0,True,4
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.4770526315789474,0.1,1.0,0.0,True,5
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.44396240057845265,0.1,1.0,0.0,True,6
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.4191886670959433,0.1,1.0,0.0,True,7
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.40689451974071894,0.1,1.0,0.0,True,8
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.4007696536558549,0.1,1.0,0.0,True,9
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.39277358981024174,0.1,1.0,0.0,True,10
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.632,0.1,1.0,0.0,True,1
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.5643863179074446,0.1,1.0,0.0,True,2
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.5006756756756757,0.1,1.0,0.0,True,3
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.47167868177136973,0.1,1.0,0.0,True,4
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.44734625105307496,0.1,1.0,0.0,True,5
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.4142547033285094,0.1,1.0,0.0,True,6
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.39367537915456596,0.1,1.0,0.0,True,7
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.3815828184760224,0.1,1.0,0.0,True,8
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.36963064295485637,0.1,1.0,0.0,True,9
"CLIP,ms=0.1,r=1,al=0.0,ts=True",3,0.3618727366787377,0.1,1.0,0.0,True,10
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.68,0.1,1.0,0.0,True,1
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.6379137412236711,0.1,1.0,0.0,True,2
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.5413028878441908,0.1,1.0,0.0,True,3
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.49949135300101727,0.1,1.0,0.0,True,4
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.4703688354745131,0.1,1.0,0.0,True,5
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.43617021276595747,0.1,1.0,0.0,True,6
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.4125631313131313,0.1,1.0,0.0,True,7
